,Unnamed: 0,OBJECTID,DOCUMENT_NBR,CRASH_REPORT_LINK,CRASH_YR,CRASH_MONTH_YEAR,DISTRICT_NBR,NLFID,NLF_JUR_CD,NLF_COUNTY_CD,COUNTY_LOG_NBR,ODOT_LATITUDE_NBR,ODOT_LONGITUDE_NBR,ODOT_FIPS_CD,AREA_CODE,CRASH_DATE,CRASH_SEVERITY_CD,CRASH_TYPE_CD,DAY_IN_WEEK_CD,DISTRACTED_DRIVER_IND,FACILITY_TYPE_CD,FHWA_RDWY_DEPARTURE_IND,FREEWAY_IND,FUNCTIONAL_CLASS_CD,HOUR_OF_CRASH,INCAPAC_INJURIES_NBR,INTERCHANGE_ID,INTERSECTION_ID_CURRENT,INTERSECTION_LEG_ID,INTERSTATE_IND,INV_LOG_NBR,INV_NLFID,IS_COMMERCIAL_RELATED,LIGHT_COND_PRIMARY_CD,LOCAL_REPORT_NUMBER_ID,MAINTENANCE_AUTHORITY_CD,MONTH_OF_CRASH,NHS_CD,NO_INJURY_REPORTED_NBR,NON_INCAPAC_INJURIES_NBR,NUMBER_OF_UNITS_NBR,ODOT_CITY_VILLAGE_TWP_NME,ODOT_CRASH_LOCATION_CD,ODOT_DIR_FROM_REF_CD,ODOT_DIV_UNDIV_IND,ODOT_INTERSECTION_REL_IND,ODOT_LANES_NBR,ODOT_MAINTAINED_HWY_IND,ODOT_MILES_FROM_REF_NBR,ODOT_REF_ROUTE_PREFIX_CD,ODOT_YOUNG_DRIVER_IND,ODPS_ADDRESS_REFERENCE,ODPS_ALCOHOL_IND,ODPS_CITY_VILLAGE_TWP_NME,ODPS_DRUG_IND,ODPS_LOC_DIR_SUFFIX_CD,ODPS_LOC_IN_WORK_ZONE_CD,ODPS_LOC_ROAD_DIRECTION_CD,ODPS_LOC_ROAD_NME,ODPS_LOC_ROAD_SUFFIX_CD,ODPS_LOC_ROUTE_ID,ODPS_LOC_ROUTE_PREFIX_CD,ODPS_LOC_ROUTE_SUFFIX_CD,ODPS_MILEPOST_REFERENCE,ODPS_MOTORCYCLE_IND,ODPS_REF_DIR_SUFFIX_CD,ODPS_REF_DIRECTION_CD,ODPS_REF_GIVEN,ODPS_REF_POINT_USED_CD,ODPS_REF_ROUTE_ID,ODPS_REF_ROUTE_PREFIX_CD,ODPS_REF_ROUTE_SUFFIX_CD,ODPS_REF_SUFFIX_CD,ODPS_SCHOOL_ZONE_IND,ODPS_SENIOR_DRIVER_IND,ODPS_SPEED_IND,ODPS_TOTAL_FATALITIES_NBR,ODPS_TYPE_OF_WORK_ZONE_CD,ODPS_WORK_ZONE_IND,OPER_ACCESS_CONTROL_CD,POSSIBLE_INJURIES_NBR,ROAD_COND_PRIMARY_CD,ROAD_CONTOUR_CD,SA_RAMP_ID,SA_SEGMENT_ID,SECONDARY_CRASH,STATE_TRUE_LOG_NBR,U1_AGE_NBR,U1_AT_FAULT_IND,U1_CONT_CIR_PRIMARY_CD,U1_DIRECTION_FROM_CD,U1_DIRECTION_TO_CD,U1_DISTRACTED_BY_1_CD,U1_GENDER_CD,U1_IS_ALCOHOL_SUSPECTED,U1_IS_MARIJUANA_SUSPECTED,U1_IS_OTHER_DRUG_SUSPECTED,U1_NON_MOTORIST_LOC_CD,U1_NUMBER_OF_THRU_LANES,U1_OBJECT_STRUCK,U1_ODPS_UNIT_NBR,U1_OPERATINGIN_AUTONOMOUS_MODE,U1_POSTED_SPEED_NBR,U1_PRECRASH_ACTION_CD,U1_SEQ_OF_EVENTS_1_CD,U1_SEQ_OF_EVENTS_2_CD,U1_SEQ_OF_EVENTS_3_CD,U1_SEQ_OF_EVENTS_4_CD,U1_SEQ_OF_EVENTS_5_CD,U1_SEQ_OF_EVENTS_6_CD,U1_SPECIAL_FUNCTION_CD,U1_TRAFFIC_CONTROL_CD,U1_TURN_CD,U1_TYPE_OF_UNIT_CD,U1_UNIT_SPEED_NBR,U2_AGE_NBR,U2_CONT_CIR_PRIMARY_CD,U2_DIRECTION_FROM_CD,U2_DIRECTION_TO_CD,U2_DISTRACTED_BY_1_CD,U2_GENDER_CD,U2_NON_MOTORIST_LOC_CD,U2_ODPS_UNIT_NBR,U2_POSTED_SPEED_NBR,U2_PRECRASH_ACTION_CD,U2_SEQ_OF_EVENTS_1_CD,U2_SEQ_OF_EVENTS_2_CD,U2_SEQ_OF_EVENTS_3_CD,U2_SEQ_OF_EVENTS_4_CD,U2_SEQ_OF_EVENTS_5_CD,U2_SEQ_OF_EVENTS_6_CD,U2_SPECIAL_FUNCTION_CD,U2_TRAFFIC_CONTROL_CD,U2_TURN_CD,U2_TYPE_OF_UNIT_CD,U2_UNIT_SPEED_NBR,U3_CONT_CIR_PRIMARY_CD,U3_ODPS_UNIT_NBR,U3_PRECRASH_ACTION_CD,U3_SEQ_OF_EVENTS_1_CD,U3_SEQ_OF_EVENTS_2_CD,U3_SEQ_OF_EVENTS_3_CD,U3_SEQ_OF_EVENTS_4_CD,U3_SEQ_OF_EVENTS_5_CD,U3_SEQ_OF_EVENTS_6_CD,U3_SPECIAL_FUNCTION_CD,U3_TRAFFIC_CONTROL_CD,U3_TYPE_OF_UNIT_CD,UNRESTRAIN_OCCUPANTS,WEATHER_COND_CD,V1,Filter,fileNames,Narrative,clean_Narrative,Topic,Topic_num
208,631,186174252,20186174252,https://hsip.dot.state.oh.us/api/report/20186174252,2018,10/1/2018 0:00,12,SCUYSR00254**C,S,CUY,0.649,41.461969,-81.958163,83622,17668.0,10/14/2018 0:00,Minor injury suspected,Pedalcycles,1,N,Two-way roadway,N,N,Minor arterial roads,7,0,,8642bceb-9781-4175-b1be-fefeffe84b4c,d044c123-4e45-4505-99d5-e67f42c0ed9e,N,0.649,SCUYSR00254**C,N,Dark - lighted roadway,1833529,4,10,,1,1,2,WESTLAKE,Not an intersection,E,N,N,2.0,N,0.163,MR,N,,N,WESTLAKE,N,,,,,,254,SR,,,N,,,BRADLEY,1,,,,RD,N,Y,N,0,,N,3.0,0,Dry,Straight level,,178576.0,N,9.468,38,N,None,East,West,,M,N,N,N,Shoulder / roadside,2,Nothing struck,1,2,35,"Walking, running, jogging, playing",Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,0,68.0,2,4.0,1.0,1.0,F,,2,35.0,6.0,15,,,,,,1.0,6.0,LT,3,10.0,,,,,,,,,,,,,0,Cloudy,,Non_WZ_Non_CMV,2018/pdf/186174252,"unit #1, a bicycle, was traveling westbound on sr254 on the right side of the roadway. unit #2 was traveling eastbound on sr254. unit #2 made a left turn into a private drive for 5/3 bank in front of unit #1. unit #1 struck unit #2, and the operator of unit #1 fell off his bike. he was transported to sjmc and released. the driver of unit #2 stated she did not see the bicycle or flashing lights, and there was an overhead street light on that the cyclist would have been under at the time she turned. the driver of unit #2 stated the cyclist """"messed"""" with his lights after the crash. the cyclist stated he had his lights on while riding. this crash will be sent to the prosecutor for ruling.", bicycle travel westbound right roadway travel eastbound leave turn private drive bank strike operator fall bike transport sjmc release state bicycle flashing light overhead cyclist time turn state cyclist mess light crash cyclist state light ride crash send prosecutor ruling ,Bicycle Accident Cases,Bicycle Accident Cases
210,634,186176862,20186176862,https://hsip.dot.state.oh.us/api/report/20186176862,2018,9/1/2018 0:00,3,SLORSR00057**N,S,LOR,21.936,41.427228,-82.119519,44856,51364.0,9/12/2018 0:00,Minor injury suspected,Pedalcycles,4,N,Two-way roadway,N,N,Minor arterial roads,14,0,,0c95d8c2-8bb7-468f-80b7-9b5db068935c,deaa8539-41a4-47a3-b019-a05ad69fa9f6,N,21.939,SLORSR00057**C,N,Daylight,2018-00032748,4,9,3,1,1,2,LORAIN,Four-way intersection,,Y,Y,4.0,N,0.0,MR,N,,N,CAMDEN TOWNSHIP,N,,,,GROVE,AVE,57,SR,,,N,,,FAIRLESS,1,,,,DR,N,Y,N,0,,N,2.0,0,Dry,Straight level,,172025.0,N,55.898,62,Y,Wrong way,North,South,,M,N,N,N,Intersection ? other,2,Nothing struck,1,2,50,"Walking, running, jogging, playing",Pedalcycle,,,,,,None,Signal,No turn,Bicycle,0,66.0,1,3.0,1.0,1.0,F,,2,50.0,5.0,15,,,,,,1.0,2.0,RT,3,5.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186176862,"unit two was traveling west on fairless drive when it stopped at the red light at grove avenue(state route 57). as unit two began making a northbound turn onto grove avenue, they struck unit one which was traveling southbound in the northbound lanes. the driver of unit two stated they did not see unit one when they were making their turn. both witnesses stated unit two was making a right turn from fairless drive onto grove avenue when unit two struck unit one. both witnesses completed a statement.", travel fairless drive stop red avenue begin make northbound turn avenue strike travel southbound northbound lane state make turn witness state make right turn fairless drive avenue strike witness complete statement ,Crossing Accidents ,Crossing Accidents 
212,637,186177522,20186177522,https://hsip.dot.state.oh.us/api/report/20186177522,2018,11/1/2018 0:00,7,MMOTMR02974**C,M,MOT,1.229,39.733088,-84.180287,57764,22528.0,11/2/2018 0:00,Injury possible,Pedalcycles,6,N,,N,N,Major collector roads,13,0,,105b7e87-b327-49b8-962e-d4fa491b4b5f,3d0e8460-37ea-4023-ace8-c0d524f5a108,N,1.229,MMOTMR02974**C,N,Daylight,1/18/4373,4,11,,1,0,2,OAKWOOD,Driveway/alley access,,N,N,4.0,N,0.0,,N,1,N,OAKWOOD,N,,,,OAKWOOD,AVE,,,,,N,,,,3,,,,,N,N,N,0,,N,,1,Wet,Straight grade,,74999.0,N,1.229,44,Y,Improper crossing,South,North,,M,N,N,N,Sidewalk,2,Nothing struck,1,2,25,Entering or crossing specified location,Motor vehicle in transport,Other / unknown,Other / unknown,Other / unknown,Other / unknown,Other / unknown,None,No control,No turn,Bicycle,25,55.0,1,4.0,3.0,1.0,F,,2,25.0,8.0,15,99.0,99.0,99.0,99.0,99.0,1.0,6.0,NT,3,3.0,,,,,,,,,,,,,0,Cloudy,,Non_WZ_Non_CMV,2018/pdf/186177522,"unit 1, while riding his bicycle on the sidewalk, northbound on oakwood ave., failed to ride in a controlled manner for the conditions and struck the side of unit 2, which was pulling out of the driveway.", ride bicycle sidewalk northbound oakwood ave fail ride control manner condition strike pull driveway , Bicycle Strikes on Roads , Bicycle Strikes on Roads 
215,641,186146321,20186146321,https://hsip.dot.state.oh.us/api/report/20186146321,2018,9/1/2018 0:00,6,MFRAMR00574H*C,M,FRA,0.325,40.02067,-83.112223,18000,19234.0,9/15/2018 0:00,Minor injury suspected,Pedalcycles,7,N,,N,N,Local roads,17,0,,cdfa0486-fca0-49d1-96a8-4da54c970c33,d399ae98-e4b1-42c2-bf74-3b1e89fb566a,N,0.325,MFRAMR00574H*C,N,Dawn/dusk,180781905,4,9,,1,1,2,COLUMBUS,Four-way intersection,W,N,Y,4.0,N,0.0,MR,N,,N,COLUMBUS,N,,,,DINSMORE CASTLE,DR,,,,,N,,,DUNLAVIN GLEN,1,,,,RD,N,Y,N,0,,N,,0,Dry,Straight level,,97643.0,N,0.325,73,Y,Failure to yield,East,South,,M,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,25,Making leftturn,Pedalcycle,,,,,,None,No control,Left turn,Sport utility vehicle,10,32.0,1,4.0,3.0,1.0,M,5.0,2,25.0,15.0,20,,,,,,1.0,6.0,NT,26,5.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186146321,"unit 2 (bicyclist) stated that he was riding his bicycle legally in the street going e/b on dinsmore castle drive, and going through the intersection of dunlaven glen road when the accident happened. he stated he was wearing a helmet and in the right lane. he stated that as he went through the intersection (he had no stop sign), unit 1, who was going w/b, turned into him causing the crash. driver of unit 1 stated he was going w/b on dinsmore castle dr and made a s/b turn onto dunlaven glen road and struck the bicyclist. he stated that he did not see him at all because of the glare from the setting sun. driver of unit 1 was issued a a citation for fail to yield on a left hand turn. the bicyclist was transported to riverside hospital by cfd medic 30 in stable condition for arm, side, and leg pain. his bike was given to his wife who responded. he was being treated by dr. kubee at the hospital.", state ride bicycle legally go e dinsmore drive go intersection dunlaven road accident happen state wear helmet right lane state go intersection go w turn cause crash state go w dinsmore dr s turn dunlaven road strike bicyclist state glare set sun issue citation fail yield leave turn bicyclist transport riverside hospital cfd medic stable condition arm leg pain bike give wife respond treat dr kubee hospital ,Bicycle Accident Cases,Bicycle Accident Cases
216,642,186146329,20186146329,https://hsip.dot.state.oh.us/api/report/20186146329,2018,9/1/2018 0:00,3,TLORTR00175**C,T,LOR,1.007,41.294203,-82.219937,57834,99808.0,9/15/2018 0:00,Minor injury suspected,Pedalcycles,7,N,,N,N,Local roads,17,0,,623fbec4-b20c-4e7d-ad6d-4671e5309da8,ad60389a-3c73-4d77-9cd3-a30ee45c0bc5,N,1.007,TLORTR00175**C,N,Daylight,2018096,4,9,,1,1,2,OBERLIN,Four-way intersection,,N,Y,2.0,N,0.0,SR,Y,,N,OBERLIN,N,,,N,PROFESSOR,ST,,,,,N,,,,1,511,SR,,,N,N,N,0,,N,,0,Dry,Straight level,,211734.0,N,1.007,55,Y,Failure to yield,North,,,F,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,25,Making leftturn,Pedalcycle,,,,,,None,Signal,Left turn,Sport utility vehicle,5,17.0,1,2.0,1.0,1.0,M,1.0,2,25.0,15.0,20,,,,,,1.0,2.0,NT,26,5.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186146329,"unit #1 was travelling southbound on n. professor st. when it attempted to make a left turn at the intersection of n. professor st. and state route 511. while unit #1 was making the left turn, it struck a bicyclist which was travelling northbound on n. professor st.", travel southbound n professor st attempt leave turn intersection n professor st state route making left turn strike bicyclist travel northbound n professor st , Bicycle Strikes on Roads , Bicycle Strikes on Roads 
221,648,186190772,20186190772,https://hsip.dot.state.oh.us/api/report/20186190772,2018,11/1/2018 0:00,4,CSUMCR00097**C,C,SUM,4.498,41.024179,-81.601937,3828,766.0,11/2/2018 0:00,Minor injury suspected,Pedalcycles,6,N,,N,N,Minor arterial roads,19,0,,d7dcc001-d1a8-4ffc-8cdf-f06a901f29aa,5ddbe3ab-2a34-4c64-9c3c-34e07e4d82b2,N,4.498,CSUMCR00097**C,N,Dark - lighted roadway,201805263,4,11,,1,1,2,BARBERTON,Not an intersection,,N,N,2.0,N,0.0,,N,342,N,BARBERTON,N,,,,NORTON,AVE,,,,,N,,,,3,,,,,N,Y,N,0,,N,,0,Wet,Straight level,,19286.0,N,4.498,35,Y,Not discernible,East,West,,M,N,N,N,Shoulder / roadside,2,Nothing struck,1,2,35,"Walking, running, jogging, playing",Pedalcycle,,,,,,None,No control,No turn,Bicycle,10,66.0,8,3.0,4.0,1.0,M,,2,35.0,1.0,15,,,,,,1.0,6.0,NT,3,25.0,,,,,,,,,,,,,0,Rain,,Non_WZ_Non_CMV,2018/pdf/186190772,the rider of unit 1 was travelling westbound on wooster rd w on his bicycle. the driver of unit 2 was behind unit 1 travelling in the same direction. it was dark out and unit 1 did not have the proper illuminitation displayed. the rider of unit 1 attempted to make a left turn into the alconic parking lot and was struck by unit 2., travel westbound wooster rd w bicycle travel direction dark proper illuminitation display attempt left turn alconic parking lot strike , Bicycle Strikes on Roads , Bicycle Strikes on Roads 
222,649,186191034,20186191034,https://hsip.dot.state.oh.us/api/report/20186191034,2018,11/1/2018 0:00,4,SSUMIR00077**N,S,SUM,17.146,41.083575,-81.578868,1000,766.0,11/12/2018 0:00,Property damage only,Pedalcycles,2,N,Two-way roadway,N,Y,Interstate route,13,0,85800.0,,,Y,17.147,SSUMIR00077**C,N,Daylight,T18007111,1,11,N,2,0,2,AKRON,Not an intersection,,Y,N,6.0,Y,0.0,,N,,N,AKRON,N,,,,I 77 N,,77,IR,,,N,,,STATE ROUTE 162 N,1,162,SR,,,N,N,N,0,,N,1.0,0,Dry,Straight level,,56830.0,N,130.668,0,Y,Other improper action,,,Data not valid or not provided,U,N,N,N,Other / unknown,2,Nothing struck,2,2,0,,Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,0,64.0,1,2.0,1.0,1.0,F,,1,55.0,1.0,15,,,,,,1.0,6.0,NT,3,55.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186191034,"johnson was traveling in lane 2 on 77n. the vehicle in front of her swerved into another lane, revealing a bicycle laying in the road. she was unable to avoid hitting the bicycle and struck it, running it over and getting it lodged under her vehicle. the accident caused minor damage to the bumper and front of the vehicle, no underride damage was observed.",travel n vehicle swerve lane reveal bicycle lay road unable avoid hit bicycle strike run get lodge vehicle accident cause damage bumper vehicle underride damage observe ,Bicycle Accidents and Injuries,Bicycle Accidents and Injuries
223,651,186192798,20186192798,https://hsip.dot.state.oh.us/api/report/20186192798,2018,11/1/2018 0:00,6,SFRASR00016**C,S,FRA,4.529,39.971465,-82.919373,18000,19234.0,11/21/2018 0:00,Injury possible,Pedalcycles,4,N,Two-way roadway,N,N,Other principal arterial roads,16,0,,502907b1-6555-4bfc-bf50-f77cbdaafa16,0d9241ca-f9b0-4999-9766-b5b6cebee8a2,N,4.529,SFRASR00016**C,N,Dark - lighted roadway,180978435,4,11,N,1,0,2,COLUMBUS,Not an intersection,E,N,N,4.0,N,0.019,MR,N,,N,COLUMBUS,N,,,E,BROAD,ST,,,,,N,,N,HARDING,1,,,,RD,N,N,N,0,,N,3.0,1,Dry,Straight level,,179669.0,N,4.529,52,Y,Following too close/acda,East,West,,M,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,25,Straight ahead,Pedalcycle,,,,,,None,No control,No turn,Sport utility vehicle,25,29.0,1,3.0,4.0,1.0,F,5.0,2,25.0,15.0,20,,,,,,1.0,6.0,NT,26,10.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186192798,"on november 21st and at approximately 6:00pm, the driver of unit #1 was traveling wb on e broad st just east of the intersection of e broad st and n harding rd, and traveling in the curb lane. driver of unit #1 stated that has he was driving, he did not see unit #2 and struck her with only his mirror. unit #2 stated she was cycling wb on e broad st just east of the intersection of e broad st and n harding rd, and also traveling in the curb lane. unit #2 stated that as she was cycling unit #1 stuck her causing her to fall of the bike. a passer-by called the police and wagon #98-b responded as well as cfd medic 21. upon further investigation it was determined that the driver of unit #1 was at fault and cited the driver with acda. cfd medic 21 treated at scene.",november approximately pm travel wb e broad st intersection e broad st rd travel curb lane state driving strike mirror state cycle wb e broad st intersection e broad st rd travel curb lane state cycling stick cause fall bike passer call police wagon responded cfd medic investigation determine fault cite acda cfd medic treat scene ,Bicycle Accident Cases,Bicycle Accident Cases
227,656,186198251,20186198251,https://hsip.dot.state.oh.us/api/report/20186198251,2018,12/1/2018 0:00,11,STUSUS00250**C,S,TUS,3.512,40.609046,-81.533532,74958,99723.0,12/2/2018 0:00,Property damage only,Pedalcycles,1,N,Two-way roadway,N,N,Other principal arterial roads,10,0,,,,N,3.512,STUSUS00250**C,N,Daylight,12  1704  12,4,12,N,2,0,2,STRASBURG,Not an intersection,E,N,N,2.0,N,0.004,,N,990,N,STRASBURG,N,,,,WOOSTER,AVE,,,,,N,,,,3,,,,,N,Y,N,0,,N,3.0,0,Dry,Straight level,,273847.0,N,95.024,10,Y,Improper crossing,West,East,,M,N,N,N,Shoulder / roadside,2,Nothing struck,2,2,35,Entering or crossing specified location,Pedalcycle,,,,,,None,No control,No turn,Bicycle,1,82.0,1,1.0,2.0,1.0,M,,1,35.0,1.0,15,,,,,,1.0,6.0,NT,3,33.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186198251,"juvenile attempting to cross north wooster avenue, from west to east, on his bicycle and was struck by a vehicle traveling south.",juvenile attempt wooster avenue east bicycle strike vehicle travel south , Bicycle Strikes on Roads , Bicycle Strikes on Roads 
228,658,186201052,20186201052,https://hsip.dot.state.oh.us/api/report/20186201052,2018,12/1/2018 0:00,8,CHAMCR00653**C,C,HAM,0.325,39.125345,-84.525794,15000,16885.0,12/5/2018 0:00,Property damage only,Pedalcycles,4,N,,N,N,Major collector roads,17,0,,7d4eebdd-6bbe-4bec-924f-fde9207a81f9,276b976c-b707-4f6d-a30f-bf71c7a2316c,N,0.325,CHAMCR00653**C,N,Dark - lighted roadway,185017351,4,12,,2,0,2,CINCINNATI,Not an intersection,,N,N,2.0,N,0.0,,N,2301,N,CINCINNATI,N,,,,RAVINE,ST,,,,,N,,,,3,,,,,N,N,N,0,,N,,0,Dry,Straight level,,34159.0,N,0.325,0,N,None,South,North,,U,N,N,N,Travel lane ? other location,2,Nothing struck,1,2,0,Entering or crossing specified location,Pedalcycle,,,,,,None,No control,No turn,Bicycle,0,57.0,1,2.0,3.0,1.0,F,,2,,5.0,15,,,,,,1.0,6.0,RT,3,5.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186201052,"unit 2 was traveling north on ravine street to turn onto warner st. unit 2 passed a male on a bicycle, when unit 2 turned east on warner st unit 1 struck unit 2 then rode off without stopping.", travel ravine turn st pass male bicycle turn st strike ride stopping , Bicycle Strikes on Roads , Bicycle Strikes on Roads 
229,659,186202532,20186202532,https://hsip.dot.state.oh.us/api/report/20186202532,2018,12/1/2018 0:00,1,MHANMR00167**C,M,HAN,0.589,41.048061,-83.65016,27048,99727.0,12/5/2018 0:00,Property damage only,Pedalcycles,4,N,,N,N,Local roads,7,0,,c7e924d4-442d-4c93-a691-98c087999e84,52456690-a781-49a5-ab13-03e6f6ebaec2,N,0.589,MHANMR00167**C,N,Dark - lighted roadway,00001-18-12487,4,12,,4,0,2,FINDLAY,T-intersection,W,N,Y,2.0,N,0.002,US,N,,N,FINDLAY,N,,,,DEFIANCE,AVE,,,,,N,,N,MAIN,1,,,,ST,N,N,N,0,,N,,0,Dry,Straight level,,95167.0,N,0.589,48,Y,None,South,West,,M,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,25,Making leftturn,Pedalcycle,,,,,,None,No control,Left turn,Sport utility vehicle,5,14.0,1,2.0,1.0,1.0,M,1.0,2,25.0,14.0,20,,,,,,1.0,6.0,NT,26,5.0,,,,,,,,,,,,,0,Cloudy,,Non_WZ_Non_CMV,2018/pdf/186202532,"unit #1 was stopped n/b on n. main st in the 500 block, waiting to turn w/b onto defiance ave. unit #2, a person riding a bicycle, was traveling n/b in the crosswalk of defiance ave between the 500 and 600 block of n. main st. unit #1 turned w/b and collided with the rear tire of unit #2. the operator of unit #2 had bruised knees. unit #1 gave the operator of unit #2 a ride to school, and then returned later to check on his status. no damage located to vehicle or bicycle. operator of unit #2 did not require medical treatment.", stop n st block wait turn w defiance ave ride bicycle travel crosswalk defiance ave n st turn w collide rear tire operator bruise knee give operator ride school return later check status damage locate vehicle bicycle operator require medical treatment ,Bicycle Accident Cases,Bicycle Accident Cases
230,660,186205054,20186205054,https://hsip.dot.state.oh.us/api/report/20186205054,2018,12/1/2018 0:00,4,MSTAMR00922**C,M,STA,0.247,40.825167,-81.3871,12000,13375.0,12/11/2018 0:00,Serious injury suspected,Pedalcycles,3,N,,N,N,Local roads,13,1,,aa9c4991-f519-42f8-9a6a-b28b3204bdab,599fbf5f-f40f-4553-b721-a4e183e10482,N,0.247,MSTAMR00922**C,N,Daylight,1816024,4,12,,1,0,2,CANTON,Four-way intersection,,N,Y,2.0,N,0.0,MR,N,,N,CANTON,N,N,,,26 TH,ST,,,,,N,N,,MYRTLE,1,,,,AVE,N,Y,N,0,,N,,0,Dry,Straight level,,122025.0,N,0.247,45,N,Wrong way,South,North,,M,N,N,N,Intersection ? unmarked crosswalk,2,Nothing struck,1,2,25,"Walking, running, jogging, playing",Motor vehicle in transport,,,,,,None,Stop sign,No turn,Bicycle,0,70.0,4,4.0,3.0,1.0,F,,2,25.0,1.0,15,,,,,,1.0,4.0,NT,3,,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186205054,unit # 1 was traveling nb on myrtle ave nw in the sb lane when he failed to stop for the stop sign and was struck by unit #2 traveling wb on 26th st nw and also slowed but failed to come to a complete stop., travel nb ave nw sb fail stop stop sign strike travel wb st nw slow fail come complete stop ,traffic fails at intersections,traffic fails at intersections
231,661,186205906,20186205906,https://hsip.dot.state.oh.us/api/report/20186205906,2018,12/1/2018 0:00,8,SBUTSR00122*DN,S,BUT,0.643,39.517749,-84.39006,49840,56926.0,12/9/2018 0:00,Injury possible,Pedalcycles,1,N,Two-way roadway,N,N,Other principal arterial roads,18,0,,,,N,0.78,SBUTSR00122*DC,N,Dark - lighted roadway,18066457,4,12,,1,0,2,MIDDLETOWN,Four-way intersection,,Y,Y,4.0,N,0.0,MR,N,,N,MIDDLETOWN,N,,,,REINARTZ,ST,,,,,N,,,CHARLES,1,,,,ST,N,Y,N,0,,N,2.0,1,Dry,Straight grade,,328384.0,N,0.643,31,Y,Failure to yield,West,South,,M,N,N,N,Intersection ? other,2,Nothing struck,1,2,35,"Walking, running, jogging, playing",Motor vehicle in transport,,,,,,None,Signal,Right turn,Bicycle,15,83.0,1,4.0,3.0,1.0,M,,2,35.0,1.0,15,,,,,,1.0,2.0,NT,3,15.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2018/pdf/186205906,unit 1 was a male on a bike and went to cross the intersection of charles and reinartz going south and failed to cross with the crosswalk and pulled out in front of unit 2. unit 1 stated he was at fault for not stopping for unit 2 who had the green light. unit 1 was found at fault., male bike go intersection reinartz go fail crosswalk pull state fault stop light find fault ,Stop and Turn Accidents Involving Bicycles,Stop and Turn Accidents Involving Bicycles
232,662,186210464,20186210464,https://hsip.dot.state.oh.us/api/report/20186210464,2018,9/1/2018 0:00,12,CCUYCR00260**C,C,CUY,2.457,41.467053,-81.852523,68056,17668.0,9/13/2018 0:00,Minor injury suspected,Pedalcycles,5,N,,N,N,Minor arterial roads,10,0,,7cff8585-ab9d-4738-a64a-463f378774c5,e0f3bb57-a2ee-449b-9cfb-444ffceb13f1,N,2.457,CCUYCR00260**C,N,Daylight,201801754,4,9,,1,1,2,ROCKY RIVER,Four-way intersection,,N,Y,2.0,N,0.0,CR,N,,N,ROCKY RIVER,N,,,,WAGAR,RD,,,,,N,,,HILLIARD,1,,,,BLVD,N,N,N,0,,N,,0,Dry,Straight level,,30563.0,N,2.457,55,N,None,North,West,,F,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,35,Slowing or stopped in traffic,Pedalcycle,,,,,,None,Signal,Right turn,Sport utility vehicle,5,51.0,20,4.0,3.0,1.0,M,1.0,2,25.0,14.0,20,,,,,,1.0,2.0,NT,26,10.0,,,,,,,,,,,,,0,Cloudy,,Non_WZ_Non_CMV,2018/pdf/186210464,unit one was stopped at a red light southbound on wagar rd. unit two was pedaling east on the north sidewalk of hilliard blvd approaching wagar rd. unit one started a legal right turn on red to go west on hilliard when the two units collided in the roadway at the crosswalk., stop red southbound wagar rd pedal sidewalk blvd approach wagar rd start legal right turn red collide roadway crosswalk ,Stop and Turn Accidents Involving Bicycles,Stop and Turn Accidents Involving Bicycles
